Issue,year,value
Economic Inequality,2020-04-25,526
Civil Rights & Discrimination,2020-04-25,11761
Labor Rights ,2020-04-25,576
Education & Student Debt,2020-04-25,4664
Economy,2020-04-26,10457
Climate and Energy,2020-04-26,25605
Defense,2020-04-26,1479
Taxes,2020-04-26,4037
Poverty,2020-04-26,1780
Healthcare,2020-04-26,9304
Economic Inequality,2020-04-26,927
Civil Rights & Discrimination,2020-04-26,8526
Labor Rights ,2020-04-26,1630
Education & Student Debt,2020-04-26,3561
Economy,2020-04-27,29467
Climate and Energy,2020-04-27,10959
Defense,2020-04-27,2181
Taxes,2020-04-27,2357
Poverty,2020-04-27,1379
Healthcare,2020-04-27,19235
Economic Inequality,2020-04-27,426
Civil Rights & Discrimination,2020-04-27,15097
Labor Rights ,2020-04-27,1454
Education & Student Debt,2020-04-27,2884
Economy,2020-04-28,59561
Climate and Energy,2020-04-28,4062
Defense,2020-04-28,7172
Taxes,2020-04-28,1579
Poverty,2020-04-28,1278
Healthcare,2020-04-28,5768
Economic Inequality,2020-04-28,902
Civil Rights & Discrimination,2020-04-28,11836
Labor Rights ,2020-04-28,877
Education & Student Debt,2020-04-28,5868
Economy,2020-04-29,37517
Climate and Energy,2020-04-29,3285
Defense,2020-04-29,5517
Taxes,2020-04-29,6771
Poverty,2020-04-29,1931
Healthcare,2020-04-29,10131
Economic Inequality,2020-04-29,551
Civil Rights & Discrimination,2020-04-29,7824
Labor Rights ,2020-04-29,1028
Education & Student Debt,2020-04-29,4664
Economy,2020-04-30,50507
Climate and Energy,2020-04-30,9780
Defense,2020-04-30,7523
Taxes,2020-04-30,14821
Poverty,2020-04-30,2858
Healthcare,2020-04-30,8225
Economic Inequality,2020-04-30,551
Civil Rights & Discrimination,2020-04-30,14394
Labor Rights ,2020-04-30,526
Education & Student Debt,2020-04-30,13793
Economy,2020-05-01,33956
Climate and Energy,2020-05-01,4188
Defense,2020-05-01,9730
Taxes,2020-05-01,33429
Poverty,2020-05-01,3034
Healthcare,2020-05-01,6921
Economic Inequality,2020-05-01,426
Civil Rights & Discrimination,2020-05-01,13166
Labor Rights ,2020-05-01,952
Education & Student Debt,2020-05-01,45993
Economy,2020-05-02,16025
Climate and Energy,2020-05-02,1981
Defense,2020-05-02,14796
Taxes,2020-05-02,9028
Poverty,2020-05-02,1278
Healthcare,2020-05-02,4238
Economic Inequality,2020-05-02,401
Civil Rights & Discrimination,2020-05-02,8501
Labor Rights ,2020-05-02,677
Education & Student Debt,2020-05-02,18056
Economy,2020-05-03,24727
Climate and Energy,2020-05-03,14821
Defense,2020-05-03,7724
Taxes,2020-05-03,4614
Poverty,2020-05-03,2231
Healthcare,2020-05-03,5090
Economic Inequality,2020-05-03,727
Civil Rights & Discrimination,2020-05-03,9053
Labor Rights ,2020-05-03,802
Education & Student Debt,2020-05-03,16702
Economy,2020-05-04,20815
Climate and Energy,2020-05-04,3385
Defense,2020-05-04,5391
Taxes,2020-05-04,13943
Poverty,2020-05-04,1554
Healthcare,2020-05-04,17730
Economic Inequality,2020-05-04,2884
Civil Rights & Discrimination,2020-05-04,14119
Labor Rights ,2020-05-04,3786
Education & Student Debt,2020-05-04,16902
Economy,2020-05-05,18457
Climate and Energy,2020-05-05,2081
Defense,2020-05-05,3210
Taxes,2020-05-05,5166
Poverty,2020-05-05,1529
Healthcare,2020-05-05,15072
Economic Inequality,2020-05-05,4363
Civil Rights & Discrimination,2020-05-05,19761
Labor Rights ,2020-05-05,4589
Education & Student Debt,2020-05-05,9128
Economy,2020-05-06,30094
Climate and Energy,2020-05-06,2909
Defense,2020-05-06,1956
Taxes,2020-05-06,4163
Poverty,2020-05-06,1554
Healthcare,2020-05-06,22620
Economic Inequality,2020-05-06,1153
Civil Rights & Discrimination,2020-05-06,18833
Labor Rights ,2020-05-06,2858
Education & Student Debt,2020-05-06,15824
Economy,2020-05-07,24150
Climate and Energy,2020-05-07,2257
Defense,2020-05-07,1855
Taxes,2020-05-07,1680
Poverty,2020-05-07,1228
Healthcare,2020-05-07,11836
Economic Inequality,2020-05-07,852
Civil Rights & Discrimination,2020-05-07,13416
Labor Rights ,2020-05-07,802
Education & Student Debt,2020-05-07,9278
